phrase_hibicus1769511633,"زهرة حمراء زاهية تنمو في الأماكن الدافئة. تُزرع في إفريقيا وآسيا وتُحبّ المناخ الدافئ. ترمز إلى القوة والحيوية، ويُصنع منها شراب لذيذ.","Une fleur rouge vif qui pousse dans les endroits chauds.Elle est cultivée en Afrique et en Asie et aime le climat chaud.Elle symbolise la force et la vitalité,et un sirop délicieux est fabriqué à partir","A bright red flower that grows in warm places.It is cultivated in Africa and Asia and loves the warm climate.It symbolizes strength and vitality,and a delicious syrup is made from it."
phrase_lavender1769511834,"نبات عطريّ من منطقة البحر الأبيض المتوسط، تُستخدم أزهارها في صناعة الصابون والزيوت المعطّرة. تُعطّر الهواء برائحتها الهادئة والمريحة !","Une plante parfumée de la région méditerranéenne,ses fleurs sont utilisées dans la production de savon et d'huiles parfumées.Elle parfume l'air avec son parfum calme et apaisant!","A fragrant plant from the Mediterranean region,its flowers are used in the production of soap and perfumed oils.It fragrances the air with its calm and soothing scent!"
phrase_paperlily1769512513,"زهرة أنيقة تنمو قرب الماء وتحبّ الضوء! تعيش في المناطق المعتدلة، لها أزهار كبيرة بيضاء أو ملوّنة. تزرع في الحدائق وتستعمل أحيانًا للزينة في الاحتفالات.","Une fleur élégante qui pousse près de l'eau et qui aime la lumière!Elle vit dans les régions tempérées,a de grandes fleurs blanches ou colorées.Elle est plantée dans les jardins et est parfois utilisée pour la décoration lors des célébrations.","An elegant flower that grows near water and loves light!It lives in temperate regions,has large white or colored flowers.It is planted in gardens and sometimes used for decoration in celebrations."
phrase_dahlia1769512668,"نبات موطنه المكسيك، أزهارها ضخمة ومتنوّعة الألوان. تنمو زهرة الأَضَالِيَة في الجبال والحدائق، أصبحت رمزًا للحدائق الصيفيّة وتستعمل في مسابقات الزهور.","Une plante originaire du Mexique,ses fleurs sont grandes et variées en couleur.La fleur de Dahlia pousse dans les montagnes et les jardins,est devenue un symbole des jardins d'été et est utilisée dans les concours de fleurs.","A plant native to Mexico,its flowers are large and varied in color.The Dahlia flower grows in mountains and gardens,has become a symbol of summer gardens and is used in flower competitions."
phrase_peony1769513220,"نبات معمّر موطنه الصين، يُزرع لجمال أزهاره الكبيرة التي تشبه الغيوم الوردية!  يُستعمل في الزينة وبعض الطبّ التقليدي الآسيوي.","Une plante vivace originaire de Chine,cultivée pour ses grandes fleurs roses en forme de nuages!Elle est utilisée pour l'ornementation et certains médicaments traditionnels asiatiques.","A perennial plant native to China,cultivated for its large,cloud-like pink flowers!It is used for ornamentation and some traditionalAsian medicine."
phrase_orchid1769513401,"واحدة من أضخم عائلات النباتات، فيها آلاف الأنواع. نادرة وفاخرة وتنمو في الغابات الرطبة والاستوائية وتتميّز بأشكالها الغريبة والمميّزة. رمز للجمال والرقيّ والتميّز الفريد.","L'une des plus grandes familles de plantes,avec des milliers d'espèces.Rare et luxueux,il pousse dans les forêts humides et tropicales et se caractérise par ses formes étranges et distinctives. Un symbole de beauté,d'élégance et de distinction unique.","One of the largest plant families,with thousands of species.Rare and luxurious,it grows in humid and tropical forests and is characterized by its strange and distinctive shapes.A symbol of beauty,elegance,and unique distinction."
sunflower_123456,"دوّار الشمس","Tournesol","Sunflower"
tulip_147258,"التوليب","Tulipe","Tulip"
rose_258369,"الوردة","Rose","Rose"
daisy_874965,"الأقحوان","Marguerite","Daisy"
hibicus_212236,"الخَطْمِيّ","Hibiscus","Hibiscus"
lavender_598325,"الخُزامَى","Lavande","Lavender"
lily_471779,"الزنبق","Lys","Lily"
peony_665588,"عود الصليب","Pivoine","Peony"
dahlia_003636,"الأَضَالِيَةُ","Dahlia","Dahlia"
orchid_585565,"السحلبية","Orchidée","Orchid"
phrase_1769672940,"مرحبا يا أبطال!","Bonjour héros!","Hello heroes!"
phrase_1769679939,"اختر الفئات المفضلة لطفلك","Choisissez les catégories préférées de votre enfant","Choose your child's favorite categories"
phrase_1769680057,"من أين نبدأ مغامرة طفلك في فريد؟","Où commençons-nous l'aventure de votre enfant à Ferid?","Where do we start your child's adventure in Ferid?"
phrase_1769680244,"الدراسة","Étudier","Studying"
phrase_1769680270,"تنمية الذّكاءات","Intelligences","Intelligences"
phrase_1769680277,"المطالعة","Lecture","Reading"
phrase_1769680288,"التنوع","Diversité","Diversity"
phrase_1769680341,"اللّعب","Jouer","Playing"
phrase_1769681308,"الكرتون","Vidéos","Videos"
phrase_1769687611,"أدر العجلة","Tourner la roue","Turn the wheel"

please_wait_remaining_time_63841,"الرّجاء انتظار الوقت المتبقّي","Veuillez attendre le temps restant","Please wait for the remaining time"
free_game_one_day_92754,"يمكنك التمتّع بهذه الّلعبة ليوم كامل مجّانا.\nستجدها في القائمة الرّئيسيّة","Vous pouvez profiter de ce jeu gratuitement pendant une journée entière.\nVous le trouverez dans le menu principal","You can enjoy this game for a full day for free.\nYou’ll find it in the main menu"
congrats_free_game_34127,"تهانينا! لقد ربحت لعبة مجّانيّة","Félicitations!Vous avez gagné un jeu gratuit","Congratulations!You won a free game"
free_story_one_day_58291,"يمكنك التمتّع بهذه القصّة ليوم كامل مجّانا. ستجدها في القائمة الرّئيسيّة","Vous pouvez profiter de cette histoire gratuitement pendant une journée entière. Vous la trouverez dans le menu principal","You can enjoy this story for a full day for free. You’ll find it in the main menu"
congrats_free_story_77420,"تهانينا! لقد ربحت قصّة مجّانيّة","Félicitations! Vous avez gagné une histoire gratuite","Congratulations! You won a free story"
three_days_premium_91834,"يمكنك الاستمتاع بثلاثة أيّام متواصلة من المحتويات المميّزة لفريد","Vous pouvez profiter de trois jours consécutifs de contenus premium de Ferid","You can enjoy three consecutive days of Ferid’s premium content"
congrats_three_days_66519,"تهانينا! لقد ربحت اشتراك ثلاثة أيّام","Félicitations!Vous avez gagné un abonnement de trois jours","Congratulations! You won a three-day subscription"
one_week_premium_44082,"يمكنك الاستمتاع بأسبوع كامل متواصل من المحتويات المميّزة لفريد","Vous pouvez profiter d’une semaine entière de contenus premium de Ferid","You can enjoy a full week of Ferid’s premium content"
congrats_seven_days_30956,"تهانينا! لقد ربحت اشتراك سبعة أيّام","Félicitations!Vous avez gagné un abonnement de sept jours","Congratulations! You won a seven-day subscription"
one_day_premium_28741,"يمكنك الاستمتاع بيوم كامل متواصل من المحتويات المميّزة لفريد","Vous pouvez profiter d’une journée entière de contenus premium de Ferid","You can enjoy a full day of Ferid’s premium content"
